method,path,name,tags,classification
GET,/v1/story-development/arcs/comparisons,list_arc_comparisons,story-development,canonical_v1
GET,/v1/story-development/arcs/selections,list_arc_selections,story-development,canonical_v1
GET,/v1/story-development/arcs/stage-maps,list_arc_stage_maps,story-development,canonical_v1
GET,/v1/story-development/braindump/sessions,list_brain_dump_sessions,story-development,canonical_v1
GET,/v1/story-development/braindump/sessions/{session_id},get_brain_dump_session,story-development,canonical_v1
GET,/v1/story-development/brainstorm/items,list_brainstorm_items,story-development,canonical_v1
GET,/v1/story-development/brainstorm/promotions,list_brainstorm_promotions,story-development,canonical_v1
GET,/v1/story-development/branches,list_story_branches,story-development,canonical_v1
GET,/v1/story-development/branches/active,get_active_story_branch,story-development,canonical_v1
GET,/v1/story-development/branches/comparisons,list_branch_comparisons,story-development,canonical_v1
GET,/v1/story-development/branches/comparisons/{comparison_id},get_branch_comparison,story-development,canonical_v1
GET,/v1/story-development/branches/merge-decisions,list_branch_merge_decisions,story-development,canonical_v1
GET,/v1/story-development/branches/merge-decisions/{merge_decision_id},get_branch_merge_decision,story-development,canonical_v1
GET,/v1/story-development/branches/{branch_id},get_story_branch,story-development,canonical_v1
GET,/v1/story-development/branches/{branch_id}/state-refs,list_branch_state_refs,story-development,canonical_v1
GET,/v1/story-development/characters,list_characters,story-development,canonical_v1
GET,/v1/story-development/characters/{character_id},get_character,story-development,canonical_v1
GET,/v1/story-development/characters/{character_id}/relationships,list_character_relationships,story-development,canonical_v1
GET,/v1/story-development/decisions,list_story_decisions,story-development,canonical_v1
GET,/v1/story-development/decisions/{node_id},get_story_decision,story-development,canonical_v1
GET,/v1/story-development/decisions/{node_id}/path,get_story_decision_path,story-development,canonical_v1
GET,/v1/story-development/drafting/draft-artifacts,list_draft_artifacts,story-development,canonical_v1
GET,/v1/story-development/drafting/draft-artifacts/{artifact_id},get_draft_artifact,story-development,canonical_v1
GET,/v1/story-development/drafting/manuscript-documents,list_manuscript_documents,story-development,canonical_v1
GET,/v1/story-development/drafting/manuscript-documents/{document_id},get_manuscript_document,story-development,canonical_v1
GET,/v1/story-development/drafting/revision-suggestions,list_revision_suggestions,story-development,canonical_v1
GET,/v1/story-development/drafting/revision-suggestions/{suggestion_id},get_revision_suggestion,story-development,canonical_v1
GET,/v1/story-development/flow/stages,list_flow_stages,story-development,canonical_v1
GET,/v1/story-development/foundation,get_foundation,story-development,canonical_v1
GET,/v1/story-development/foundation/review-cues,list_foundation_review_cues,story-development,canonical_v1
GET,/v1/story-development/foundation/revisions,list_foundation_revisions,story-development,canonical_v1
GET,/v1/story-development/planning/beat-plans,list_beat_plans,story-development,canonical_v1
GET,/v1/story-development/planning/beat-plans/{beat_id},get_beat_plan,story-development,canonical_v1
GET,/v1/story-development/planning/chapter-packets,list_chapter_packets,story-development,canonical_v1
GET,/v1/story-development/planning/chapter-packets/{packet_id},get_chapter_packet,story-development,canonical_v1
GET,/v1/story-development/planning/chapter-plans,list_chapter_plans,story-development,canonical_v1
GET,/v1/story-development/planning/chapter-plans/{chapter_id},get_chapter_plan,story-development,canonical_v1
GET,/v1/story-development/planning/dependencies,list_planning_dependencies,story-development,canonical_v1
GET,/v1/story-development/planning/dependencies/{dependency_id},get_planning_dependency,story-development,canonical_v1
GET,/v1/story-development/planning/scene-plans,list_scene_plans,story-development,canonical_v1
GET,/v1/story-development/planning/scene-plans/{scene_id},get_scene_plan,story-development,canonical_v1
GET,/v1/story-development/planning/sequence-plans,list_sequence_plans,story-development,canonical_v1
GET,/v1/story-development/planning/sequence-plans/{sequence_id},get_sequence_plan,story-development,canonical_v1
GET,/v1/story-development/relationships,list_all_relationships,story-development,canonical_v1
GET,/v1/story-development/review/decisions,list_review_decisions,story-development,canonical_v1
GET,/v1/story-development/review/decisions/{decision_id},get_review_decision,story-development,canonical_v1
GET,/v1/story-development/review/findings,list_checker_findings,story-development,canonical_v1
GET,/v1/story-development/review/findings/{finding_id},get_checker_finding,story-development,canonical_v1
GET,/v1/story-development/review/inspect-links,list_inspect_links,story-development,canonical_v1
GET,/v1/story-development/review/inspect-links/{link_id},get_inspect_link,story-development,canonical_v1
GET,/v1/story-development/storyboard/cards,list_storyboard_cards,story-development,canonical_v1
GET,/v1/story-development/storyboard/cards/{card_id},get_storyboard_card,story-development,canonical_v1
GET,/v1/story-development/world-bible,list_world_bible_entries,story-development,canonical_v1
GET,/v1/story-development/world-bible/{entry_type}/{title},get_world_bible_entry,story-development,canonical_v1
GET,/v1/story-generation/runs,list_generation_runs,story-generation,canonical_v1
GET,/v1/story-generation/runs/{generation_id},get_generation_run,story-generation,canonical_v1
GET,/v1/story-generation/runs/{generation_id}/gates,get_generation_gates,story-generation,canonical_v1
GET,/v1/story-generation/runs/{generation_id}/packet,get_generation_packet,story-generation,canonical_v1
GET,/vite.svg,serve_vite_icon,,internal
PATCH,/story-development/arcs/selections/{selection_id},update_arc_selection,story-development,dual
PATCH,/story-development/braindump/sessions/{session_id},patch_brain_dump_session,story-development,dual
PATCH,/story-development/characters/{character_id},update_character,story-development,dual
